"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"341","concito",1,0,0,0,0,0,0,0,0,0,0,1,1
"342","concito1",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"343","conclamo1",4,0,0,0,0,0,0,0,0,3,0.75,1,0.25
"344","concoquo1",1,0,0,0,0,1,1,0,0,0,0,0,0
"345","concordo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"346","concremo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"347","concrepo1",2,0,0,0,0,0,0,0,0,2,1,0,0
"348","concupio",1,0,0,0,0,1,1,0,0,0,0,0,0
"349","concupio1",4,1,0.25,0,0,1,0.25,0,0,2,0.5,0,0
"350","concupisco",1,0,0,0,0,0,0,0,0,1,1,0,0
"351","concurro",1,0,0,0,0,0,0,0,0,1,1,0,0
"352","concurro1",3,0,0,0,0,0,0,0,0,0,0,3,1
"353","concurso",1,0,0,0,0,0,0,0,0,0,0,1,1
"354","concutio1",4,0,0,0,0,0,0,0,0,4,1,0,0
"355","condemno1",1,1,1,0,0,0,0,0,0,0,0,0,0
